Name	Description	SourceMTOverride	SourceMTOverride	Characteristics [continent]	Characteristics [country]	Characteristics [city]	Characteristics [organism]	Characteristics [fungus organism]	specimen collection year	Characteristics [specimen]	Characteristics[fungal strain]
ORE15_Ste_A8	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_A8
ORE15_Ste_A9	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_A9
ORE15_Ste_B1	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B1
ORE15_Ste_B10	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B10
ORE15_Ste_B11	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B11
ORE15_Ste_B12	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B12
ORE15_Ste_B14	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B14
ORE15_Ste_B15	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B15
ORE15_Ste_B16	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B16
ORE15_Ste_B17	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B17
ORE15_Ste_B18	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B18
ORE15_Ste_B19	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B19
ORE15_Ste_B2	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B2
ORE15_Ste_B20	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B20
ORE15_Ste_B21	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B21
ORE15_Ste_B22	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B22
ORE15_Ste_B23	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B23
ORE15_Ste_B24	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B24
ORE15_Ste_B3	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B3
ORE15_Ste_B4	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B4
ORE15_Ste_B5	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B5
ORE15_Ste_B6	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B6
ORE15_Ste_B7	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B7
ORE15_Ste_B8	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B8
ORE15_Ste_B9	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_B9
ST16CH_1A1	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1A1
ST16CH_1A11	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1A11
ST16CH_1A27	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1A27
ST16CH_1A57	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1A57
ST16CH_1B31	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1B31
ST16CH_1B73	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1B73
ST16CH_1B8	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1B8
ST16CH_1C12	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1C12
ST16CH_1C31	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1C31
ST16CH_1C52	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1C52
ST16CH_1C65	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1C65
ST16CH_1D1	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1D1
ST16CH_1D15	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1D15
ST16CH_1D23	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1D23
ST16CH_1D8	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1D8
ST16CH_1E21	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1E21
