Name	Description	SourceMTOverride	SourceMTOverride	Characteristics [continent]	Characteristics [country]	Characteristics [city]	Characteristics [organism]	Characteristics [fungus organism]	specimen collection year	Characteristics [specimen]	Characteristics[fungal strain]
ST16CH_3R32	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3R32
ST16CH_3R39	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3R39
ST16CH_3S1	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3S1
ST16CH_3S9	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3S9
ST16CH_3T31	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3T31
ST16CH_3T39	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3T39
ST16CH_3T5	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3T5
ST16CH_3U42	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3U42
ST16CH_3U55	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3U55
ST16CH_3V10	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3V10
ST16CH_3V27	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3V27
ST16CH_3V30	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3V30
ST16CH_3V43	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3V43
ST16CH_3W21	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3W21
ST16CH_3W3	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3W3
ST16CH_3W9	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3W9
ST99CH_15	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Berg am Irchel	Triticum aestivum	Zymoseptoria tritici	1999	spore	Zymoseptoria tritici ST99CH_15
ST99CH_28	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Berg am Irchel	Triticum aestivum	Zymoseptoria tritici	1999	spore	Zymoseptoria tritici ST99CH_28
ST99CH_SW39	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Berg am Irchel	Triticum aestivum	Zymoseptoria tritici	1999	spore	Zymoseptoria tritici ST99CH_SW39
ST99CH_SW5	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Berg am Irchel	Triticum aestivum	Zymoseptoria tritici	1999	spore	Zymoseptoria tritici ST99CH_SW5
