Name	Description	SourceMTOverride	SourceMTOverride	Characteristics [fungus organism]	Characteristics [fungal strain]
NCYC1292	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1292
NCYC1308	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1308
NCYC3472	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3472
NCYC956	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC956
NCYC3311	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3311
NCYC3460	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3460
NCYC3406	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3406
NCYC3445	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3445
NCYC3318	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3318
NCYC3313	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3313
NCYC2592	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC2592
NCYC1337	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1337
NCYC1444	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1444
NCYC3315	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3315
NCYC3456	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3456
NCYC3487	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3487
NCYC667	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC667
NCYC3461	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3461
NCYC3462	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3462
NCYC3314	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3314
NCYC2397	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC2397
NCYC3612	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3612
NCYC361	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC361
NCYC360	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC360
NCYC695	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC695
NCYC1410	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1410
NCYC3557	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3557
NCYC1315	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1315
NCYC478	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC478
NCYC609	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC609
NCYC1415	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1415
NCYC816	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC816
NCYC1413	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1413
NCYC1529	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1529
