name	description	sourcemtoverride	samplemtoverride	SRA Accession #	SubjectID	Date Collected	Location	Latitude	Longitude	Country	body_site	body_habitat	body_product	sample_type	species common name	species	genus	subspecies	extraction_kit	miseq_run_number	Weight_to_use	habitat	Diet
SBUShark.LI9.Feces.1.1				SRS2444805	SLI9		"Panama City, FL"	N 27 54.992¡	W 083 13.846¡	USA	Colon	UBERON:feces	Colon	Stool	SBU Shark	leucas	carcharhinus		MOBIO POWERSOIL HTP	2	160000	wild	Carnivore
SeaCucumber.1.Gut.1.1				SRS2444651	1		"Gulf Specimen Marine Laboratories, Inc., Panacea, FL"	N 30.029120¡	W 84.398617¡	USA	Colon	UBERON:feces	Colon	Feces in water	Striped Sea Cucumber	gemmata	thyonella		Qiagen UCP Mini Pathogen Kit	2	6.655	domestic	Omnivore
SeaRobin.1.Feces.1.1				SRS2444656	1		"Atlantic City, NJ"	N 39.364283¡	W 74.422927¡	USA	Colon	UBERON:feces	Colon	Stool	Sea Robin	carolinus	prionotus		MOBIO POWERSOIL HTP	2	1542.21	wild	Carnivore
SeaRobin.2.Feces.1.1				SRS2444654	2		"Atlantic City, NJ"	N 39.364283¡	W 74.422927¡	USA	Colon	UBERON:feces	Colon	Stool	Sea Robin	carolinus	prionotus		MOBIO POWERSOIL HTP	2	1542.21	wild	Carnivore
Sheep.2.Feces.1.1				SRS2444629	2	8/27/16	"Elizabethtown, PA Fair"	N 40.152872¡	W 76.602745¡	USA	Colon	UBERON:feces	Colon	Stool	Sheep	aries	ovis		MOBIO POWERSOIL HTP	2	40000	wild	Herbivore
Sheep.A1.Feces.1.1				SRS2444790	A1	9/3/16	"Newfoundland, PA"	N 41.308185¡	W 75.322633¡	USA	Colon	UBERON:feces	Colon	Stool	Sheep	aries	ovis		MOBIO POWERSOIL HTP	1	40000	wild	Herbivore
Sheep.A2.Feces.1.1				SRS2444780	A2	9/3/16	"Newfoundland, PA"	N 41.308185¡	W 75.322633¡	USA	Colon	UBERON:feces	Colon	Stool	Sheep	aries	ovis		MOBIO POWERSOIL HTP	1	40000	wild	Herbivore
Sheep.A3.Feces.1.1				SRS2444714	A3	9/3/16	"Newfoundland, PA"	N 41.308185¡	W 75.322633¡	USA	Colon	UBERON:feces	Colon	Stool	Sheep	aries	ovis		MOBIO POWERSOIL HTP	1	40000	wild	Herbivore
Sheep.Lepf1.Feces.1.1				SRS2444713	Lepf1	8/27/16	"Elizabethtown, PA Fair"	N 40.152872¡	W 76.602745¡	USA	Colon	UBERON:feces	Colon	Stool	Sheep	aries	ovis		MOBIO POWERSOIL HTP	2	40000	domestic	Herbivore
Shrimp.2.Gut.1.1				SRS2444628	2		"Gulf Specimen Marine Laboratories, Inc., Panacea, FL"	N 30.029120¡	W 84.398617¡	USA	UBERON:multi-cellular organism		UBERON:intestine	Gut	Pink Shrimp	duorarum	farfantepenaeus		Qiagen UCP Mini Pathogen Kit	2	0.0103	domestic	Omnivore
Skate.2.Feces.1.1				SRS2444960	2		"Atlantic City, NJ"	N 39.364283¡	W 74.422927¡	USA	Colon	UBERON:feces	Colon	Stool	Skate	ocellata	leucoraja		MOBIO POWERSOIL HTP	2	500	wild	Carnivore
SmallPetstoreCricket.1.Gut.1.1				SRS2444961	1		"Philadelphia, PA"	N 39.952584¡	W 75.165222¡	USA	UBERON:multi-cellular organism		UBERON:intestine	Gut	Cricket	domesticus	acheta		Qiagen UCP Pathogen Mini Kit	2	0.0339	domestic	Omnivore
SmallPetstoreCricket.2.Gut.1.1				SRS2444855	2		"Philadelphia, PA"	N 39.952584¡	W 75.165222¡	USA	UBERON:multi-cellular organism		UBERON:intestine	Gut	Cricket	domesticus	acheta		Qiagen UCP Pathogen Mini Kit	2	0.0042	domestic	Omnivore
SmallPetstoreCricket.3.Gut.1.1				SRS2444856	3		"Philadelphia, PA"	N 39.952584¡	W 75.165222¡	USA	UBERON:multi-cellular organism		UBERON:intestine	Gut	Cricket	domesticus	acheta		Qiagen UCP Pathogen Mini Kit	2	0.0031	domestic	Omnivore
SootyMangabey.anne.Feces.1.1				SRS2444968	Anne	7/29/02	"Tai forest, habituated"	"N 5¡41'23.51"""	W 6.939444¡	Ivory Coast	Colon	UBERON:feces	Colon	Stool	Sooty Mangabey	atys	cercocebus		MOBIO POWERSOIL HTP	1	7850	wild	Omnivore
SootyMangabey.yoko.Feces.1.1				SRS2444967	Yoko	6/4/02	"Tai forest, habituated"	"N 5¡41'23.51"""	W 6.939444¡	Ivory Coast	Colon	UBERON:feces	Colon	Stool	Sooty Mangabey	atys	cercocebus		MOBIO POWERSOIL HTP	1	7850	wild	Omnivore
SSBShark.LI14.Feces.1.1				SRS2444998	SLI14		"Panama City, FL"	N 30 22.410¡	W 080 51.696¡	USA	UBERON:multi-cellular organism		UBERON:intestine	Gut contents	SSB Shark	plumbeus	carcharhinus		MOBIO POWERSOIL HTP	2	58967	wild	Carnivore
SSBShark.LI18.Feces.1.1				SRS2444999	SLI18		"Panama City, FL"	N 30 21.486¡	W 080 47.753¡	USA	UBERON:multi-cellular organism		UBERON:intestine	Gut contents	SSB Shark	plumbeus	carcharhinus		MOBIO POWERSOIL HTP	2	58967	wild	Carnivore
SSBShark.LI5.Feces.1.1				SRS2444614	SLI101H2		"Panama City, FL"	N 30 19. 216¡	W 080 47.345¡	USA	UBERON:multi-cellular organism		UBERON:intestine	Gut contents	SSB Shark	plumbeus	carcharhinus		MOBIO POWERSOIL HTP	2	58967	wild	Carnivore
SSBShark.LI7.Feces.1.1				SRS2444767	SLI7		"Panama City, FL"	N 27 58.479¡	W 083 19.035¡	USA	UBERON:multi-cellular organism		UBERON:intestine	Gut contents	SSB Shark	plumbeus	carcharhinus		MOBIO POWERSOIL HTP	2	58967	wild	Carnivore
SSBShark.LI8.Feces.1.1				SRS2444906	SLI8		"Panama City, FL"	N 30 22.410¡	W 080 51.696¡	USA	UBERON:multi-cellular organism		UBERON:intestine	Gut contents	SSB Shark	plumbeus	carcharhinus		MOBIO POWERSOIL HTP	2	58967	wild	Carnivore
TigerShark.LI11.Feces.1.1				SRS2444904	SLI11		"Panama City, FL"	N 27 58.479¡	W 083 19.035¡	USA	UBERON:multi-cellular organism		UBERON:intestine	Gut contents	Tiger Shark	cuvier	galeocerdo		MOBIO POWERSOIL HTP	2	110000	wild	Carnivore
TigerShark.LI2.Feces.1.1				SRS2444905	SLI110		"Panama City, FL"	N 27 54.992¡	W 083 13.846¡	USA	UBERON:multi-cellular organism		UBERON:intestine	Gut contents	Tiger Shark	cuvier	galeocerdo		MOBIO POWERSOIL HTP	2	110000	wild	Carnivore
Wasp.0.Gut.1.1				SRS2444549	0		"Philadelphia, PA"	N 39.952584¡	W 75.165222¡	USA	UBERON:multi-cellular organism		UBERON:intestine	Gut	Eastern Yellowjacket	maculifrons	vespula		Qiagen UCP Mini Pathogen Kit	2	0.0377	wild	Omnivore
WesternChimpanzee.CCptv01.Feces.1.1				SRS2444554	CCptv01	4/1/10	Center for Chimp Conservation	"N 9¡45'55.78"""	"W 9¡42'35.88""¡"	Guinea	Colon	UBERON:feces	Colon	Stool	Western Chimpanzee	troglodytes	pan	verus	MOBIO POWERSOIL HTP	1	40000	wild	Omnivore
Whale.AK1.Feces.1.1				SRS2444553	AK1	6/22/11	"Sitka, AK"	N 57.053056¡	W 135.330000¡	USA	Colon	UBERON:feces	Colon	Stool	Humpback Whale	novaeangliae	megaptera		PSP Stool	3	29000000	wild	Planktivore
Whale.AK2.Feces.1.1				SRS2444552	AK2	10/12/08	"Seymour Canal, AK"	N 57.786111¡	W 134.074167¡	USA	Colon	UBERON:feces	Colon	Stool	Humpback Whale	novaeangliae	megaptera		PSP Stool	3	29000000	wild	Planktivore
Whale.AK3.Feces.1.1				SRS2444557	AK3	11/15/09	"Seymour Canal, AK"	N 57.786111¡	W 134.074167¡	USA	Colon	UBERON:feces	Colon	Stool	Humpback Whale	novaeangliae	megaptera		PSP Stool	3	29000000	wild	Planktivore
Whale.BP2.Feces.1.1				SRS2444556	BP2	5/2/15	"Cape Cod, MA"	N 41.668790¡	W 70.296241¡	USA	Colon	UBERON:feces	Colon	Stool	Fin Whale	physalus	balaenoptera		PSP Stool	3	54431100	wild	Planktivore
Whale.EG3.Feces.1.1				SRS2444901	EG3	9/17/08	Bay of Fundy	N 44.772849¡	W 66.309551¡	Canada	Colon	UBERON:feces	Colon	Stool	Right Whale	glacialis	eubalaena		PSP Stool	3	71700000	wild	Planktivore
Whale.EG4.Feces.1.1				SRS2444914	EG4	9/16/08	Bay of Fundy	N 44.772849¡	W 66.309551¡	Canada	Colon	UBERON:feces	Colon	Stool	Right Whale	glacialis	eubalaena		PSP Stool	3	71700000	wild	Planktivore
Whale.EG5.Feces.1.1				SRS2444923	EG5	9/11/08	Bay of Fundy	N 44.772849¡	W 66.309551¡	Canada	Colon	UBERON:feces	Colon	Stool	Right Whale	glacialis	eubalaena		PSP Stool	3	71700000	wild	Planktivore
