Name	Description	SourceMTOverride	SourceMTOverride	Characteristics [specimen]	Characteristics[country]	Characteristics [continent]	Characteristics [city]	Characteristics [specimen]	Characteristics [organism]	Characteristics [fungus organism]	Characteristics [fungal strain]
CEC4035				cell culture	United Kingdom	Europe	Birmingham	Burn	Homo sapiens	Candida albicans	Candida albicans CEC4035
CEC4032				cell culture	United Kingdom	Europe	Birmingham	sputum	Homo sapiens	Candida albicans	Candida albicans CEC4032
CEC4039				cell culture	United Kingdom	Europe	Birmingham	sputum	Homo sapiens	Candida albicans	Candida albicans CEC4039
CEC4038				cell culture	United Kingdom	Europe	Birmingham	wound	Homo sapiens	Candida albicans	Candida albicans CEC4038
CEC3715				cell culture	France	Europe	Paris	urine	Homo sapiens	Candida albicans	Candida albicans CEC3715
CEC3712				cell culture	France	Europe	Paris	urine	Homo sapiens	Candida albicans	Candida albicans CEC3712
CEC3786				cell culture	South Korea	Asia	n/a	blood	Homo sapiens	Candida albicans	Candida albicans CEC3786
CEC3716				cell culture	France	Europe	Paris	urine	Homo sapiens	Candida albicans	Candida albicans CEC3716
CEC3706				cell culture	France	Europe	Paris	urine	Homo sapiens	Candida albicans	Candida albicans CEC3706
CEC4104				cell culture	Senegal	Africa	n/a	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC4104
CEC4103				cell culture	Senegal	Africa	n/a	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC4103
CEC3544				cell culture	Belgium	Europe	n/a	Mouth	Homo sapiens	Candida albicans	Candida albicans CEC3544
CEC3541				cell culture	France	Europe	Nantes	blood	Homo sapiens	Candida albicans	Candida albicans CEC3541
CEC3540				cell culture	France	Europe	Strasbourg	blood	Homo sapiens	Candida albicans	Candida albicans CEC3540
CEC3537				cell culture	Morocco	Africa	n/a	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC3537
CEC3536				cell culture	Morocco	Africa	n/a	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC3536
CEC3535				cell culture	Morocco	Africa	n/a	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC3535
CEC3534				cell culture	Morocco	Africa	n/a	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC3534
CEC3533				cell culture	France	Europe	Palaiseau	Mouth	Homo sapiens	Candida albicans	Candida albicans CEC3533
CEC3678				cell culture	France	Europe	Paris	urine	Homo sapiens	Candida albicans	Candida albicans CEC3678
CEC3548				cell culture	Belgium	Europe	n/a	Gastro-intestinal tract	Homo sapiens	Candida albicans	Candida albicans CEC3548
CEC3547				cell culture	Belgium	Europe	n/a	Mouth	Homo sapiens	Candida albicans	Candida albicans CEC3547
CEC5027				cell culture	United Kingdom	Europe	London	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC5027
CEC5028				cell culture	United Kingdom	Europe	Coventry	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC5028
CEC5029				cell culture	United Kingdom	Europe	Stoke	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC5029
CEC5030				cell culture	United Kingdom	Europe	Bristol	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC5030
CEC704				cell culture	France	Europe	n/a	Mouth	Homo sapiens	Candida albicans	Candida albicans CEC704
CEC708				cell culture	France	Europe	n/a	Mouth	Homo sapiens	Candida albicans	Candida albicans CEC708
CEC709				cell culture	France	Europe	n/a	Mouth	Homo sapiens	Candida albicans	Candida albicans CEC709
CEC711				cell culture	France	Europe	n/a	Mouth	Homo sapiens	Candida albicans	Candida albicans CEC711
CEC712				cell culture	France	Europe	n/a	Mouth	Homo sapiens	Candida albicans	Candida albicans CEC712
CEC716				cell culture	France	Europe	n/a	Mouth	Homo sapiens	Candida albicans	Candida albicans CEC716
CEC3680				cell culture	France	Europe	Paris	blood	Homo sapiens	Candida albicans	Candida albicans CEC3680
CEC3549				cell culture	Belgium	Europe	n/a	Gastro-intestinal tract	Homo sapiens	Candida albicans	Candida albicans CEC3549
CEC3550				cell culture	France	Europe	Rennes	feces	Sturnus vulgaris	Candida albicans	Candida albicans CEC3550
CEC3551				cell culture	France	Europe	Paris	urine	Homo sapiens	Candida albicans	Candida albicans CEC3551
