Name	Description	SourceMTOverride	SourceMTOverride	specimen collector	Specimen Collection Date	Characteristics[country]	Characteristics [continent]	Characteristics[city]	Characteristics[city]	Characteristics [organism]	Characteristics[environmental specimen]	Characteristics [fungus organism]	alternative sample ID	Characteristics [fungal strain]
OR_HFH3A				Molly Schmidt	1993	USA	North America	 Hyslop	 Oregon	wheat	leaf	Parastagonospora nodorum	SNOR93HFh3a	Parastagonospora nodorum OR_HFH3A
OR_HBH9B				Molly Schmidt	1993	USA	North America	 Hyslop	 Oregon	wheat	leaf	Parastagonospora nodorum	SNOR93HBh9b	Parastagonospora nodorum OR_HBH9B
OR_HBH4D				Molly Schmidt	1993	USA	North America	 Hyslop	 Oregon	wheat	leaf	Parastagonospora nodorum	SNOR93HBh4d	Parastagonospora nodorum OR_HBH4D
OR_HFH9B				Molly Schmidt	1993	USA	North America	 Hyslop	 Oregon	wheat	leaf	Parastagonospora nodorum	SNOR93HFh9b	Parastagonospora nodorum OR_HFH9B
OR_HFH2D				Molly Schmidt	1993	USA	North America	 Hyslop	 Oregon	wheat	leaf	Parastagonospora nodorum	SNOR93HFh2d	Parastagonospora nodorum OR_HFH2D
OR_HBH8C				Molly Schmidt	1993	USA	North America	 Hyslop	 Oregon	wheat	leaf	Parastagonospora nodorum	SNOR93HBh8c	Parastagonospora nodorum OR_HBH8C
OR_A1C				Molly Schmidt	1993	USA	North America	 Hyslop	 Oregon	wheat	leaf	Parastagonospora nodorum	SNOR93HA1c	Parastagonospora nodorum OR_A1C
AUS_1A9				Bruce A. McDonald and Robert Loughman	2001	Australia	Oceania	 North of Narrogin	n/a	wheat	leaf	Parastagonospora nodorum	SNAus01_1A9	Parastagonospora nodorum AUS_1A9
NY_345				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN345NY91	Parastagonospora nodorum NY_345
NY_342				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN342NY91	Parastagonospora nodorum NY_342
NY_334				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN334NY91	Parastagonospora nodorum NY_334
NY_330				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN330NY91	Parastagonospora nodorum NY_330
NY_430				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN430NY91	Parastagonospora nodorum NY_430
NY_391				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN391NY91	Parastagonospora nodorum NY_391
AUS_A7				Bruce A. McDonald and Robert Loughman	2001	Australia	Oceania	 North of Narrogin	n/a	wheat	leaf	Parastagonospora nodorum	SNAus01_1A7	Parastagonospora nodorum AUS_A7
NY_325				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN325NY91	Parastagonospora nodorum NY_325
NY_373				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN373NY91	Parastagonospora nodorum NY_373
