Name	Description	SourceMTOverride	SourceMTOverride	specimen collector	Specimen Collection Date	Characteristics[country]	Characteristics [continent]	Characteristics [specimen]	latitude	longitude	Characteristics [fungus organism]	Characteristics [fungal strain]
NRZ-2017-134	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/17	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2017-134
NRZ-2017-115	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/17	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2017-115
NRZ-2017-096	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/17	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2017-096
NRZ-2017-076	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/17	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2017-076
NRZ-2017-069	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/17	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2017-069
G-2-3-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/18/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus G-2-3-1
G-2-5-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/18/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus G-2-5-2
G-2-14-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/18/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus G-2-14-1
G-2-1-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/18/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus G-2-1-2
G-2-6-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/18/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus G-2-6-1
