Name	Description	SourceMTOverride	SampleMTOverride	Specimen Collection Date	Characteristics [country]	Characteristics [continent]	Characteristics [city]	Characteristics [host_common_name]	Characteristics [specimen]	Characteristics [health_status]	Characteristics [fungus organism]	Characteristics [fungal strain]
B12102	Aligned genome sequence reads - Candida auris clinical isolates			7-Sep-16	Panama	North America	 Panama City	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12102
B12101	Aligned genome sequence reads - Candida auris clinical isolates			22-Sep-16	Panama	North America	 Panama City	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12101
B13276	Aligned genome sequence reads - Candida auris clinical isolates			9-Apr-17	USA	North America	New York	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B13276
B13274	Aligned genome sequence reads - Candida auris clinical isolates			18-Apr-17	USA	North America	New York	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B13274
B12802	Aligned genome sequence reads - Candida auris clinical isolates			12-Apr-17	USA	North America	New York	Homo sapiens	sputum	Candida infection or colonization	Candida auris	Candida auris B12802
B12421	Aligned genome sequence reads - Candida auris clinical isolates			18-Nov-16	USA	North America	New York	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B12421
B12284	Aligned genome sequence reads - Candida auris clinical isolates			15-Dec-16	Colombia	South America	 Bogota	Homo sapiens	axilla swab	Candida infection or colonization	Candida auris	Candida auris B12284
B12279	Aligned genome sequence reads - Candida auris clinical isolates			30-Sep-16	Colombia	South America	 Bogota	Homo sapiens	rectum swab	Candida infection or colonization	Candida auris	Candida auris B12279
B12277	Aligned genome sequence reads - Candida auris clinical isolates			15-Aug-15	Colombia	South America	 Santa Marta	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B12277
B12272	Aligned genome sequence reads - Candida auris clinical isolates			15-Aug-15	Colombia	South America	 Santa Marta	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B12272
B12244	Aligned genome sequence reads - Candida auris clinical isolates			15-Dec-16	Colombia	South America	 Bogota		environmental		Candida auris	Candida auris B12244
B12188	Aligned genome sequence reads - Candida auris clinical isolates			10-Jun-16	Venezuela	South America	 Caracas	Homo sapiens	Catheter Tip	Candida infection or colonization	Candida auris	Candida auris B12188
B12187	Aligned genome sequence reads - Candida auris clinical isolates			30-Sep-16	Venezuela	South America	 Caracas	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B12187
B12186	Aligned genome sequence reads - Candida auris clinical isolates			28-Sep-16	Venezuela	South America	 Caracas	Homo sapiens	Catheter Tip	Candida infection or colonization	Candida auris	Candida auris B12186
B12183	Aligned genome sequence reads - Candida auris clinical isolates			9-Jan-15	Venezuela	South America	 Maracaibo	Homo sapiens	tracheal aspirate	Candida infection or colonization	Candida auris	Candida auris B12183
B12182	Aligned genome sequence reads - Candida auris clinical isolates			13-Feb-15	Venezuela	South America	 Maracaibo	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B12182
B12181	Aligned genome sequence reads - Candida auris clinical isolates			8-Apr-15	Venezuela	South America	 Maracaibo	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12181
B12179	Aligned genome sequence reads - Candida auris clinical isolates			5-Feb-15	Venezuela	South America	 Maracaibo	Homo sapiens	CSF	Candida infection or colonization	Candida auris	Candida auris B12179
B12178	Aligned genome sequence reads - Candida auris clinical isolates			28-Jul-15	Venezuela	South America	 Maracaibo	Homo sapiens	CSF	Candida infection or colonization	Candida auris	Candida auris B12178
B12177	Aligned genome sequence reads - Candida auris clinical isolates			8-May-15	Venezuela	South America	 Maracaibo	Homo sapiens	Catheter Tip	Candida infection or colonization	Candida auris	Candida auris B12177
B12176	Aligned genome sequence reads - Candida auris clinical isolates			25-May-15	Venezuela	South America	 Maracaibo	Homo sapiens	Catheter Tip	Candida infection or colonization	Candida auris	Candida auris B12176
B12175	Aligned genome sequence reads - Candida auris clinical isolates			29-May-15	Venezuela	South America	 Maracaibo	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12175
B12172	Aligned genome sequence reads - Candida auris clinical isolates			25-May-15	Venezuela	South America	 Maracaibo	Homo sapiens	tracheal aspirate	Candida infection or colonization	Candida auris	Candida auris B12172
B16519	Aligned genome sequence reads - Candida auris clinical isolates			7-Mar-18	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16519
B12171	Aligned genome sequence reads - Candida auris clinical isolates			30-May-15	Venezuela	South America	 Maracaibo	Homo sapiens	CSF	Candida infection or colonization	Candida auris	Candida auris B12171
B16514	Aligned genome sequence reads - Candida auris clinical isolates			5-Jul-17	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16514
B16513	Aligned genome sequence reads - Candida auris clinical isolates			16-Jun-17	Kenya	Africa		Homo sapiens	CSF	Candida infection or colonization	Candida auris	Candida auris B16513
B16511	Aligned genome sequence reads - Candida auris clinical isolates			28-May-17	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16511
