Name	Description	SourceMTOverride	SampleMTOverride	Characteristics[organism ID]	Characteristics[country]	Characteristics[city]	Characteristics[organism]	Characteristics[parasite organism]	Characteristics[parasite strain]	Characteristics[specimen]
TM90C2A	Sample TM90C2A			EUSTDY0002 Subject 63	Thailand		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum TM90C2A	specimen from organism
TM90C6A	Sample TM90C6A			EUSTDY0002 Subject 64	Thailand		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum TM90C6A	specimen from organism
TM90C6B	Sample TM90C6B			EUSTDY0002 Subject 65	Thailand		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum TM90C6B	specimen from organism
TM91C235	Sample TM91C235			EUSTDY0002 Subject 66	Thailand		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum TM91C235	specimen from organism
36-89	Sample 36-89			EUSTDY0002 Subject 67	Brazil		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum 36-89	specimen from organism
KMWII	Sample KMWII			EUSTDY0002 Subject 68	Kenya		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum KMWII	specimen from organism
330-89	Sample 330-89			EUSTDY0002 Subject 69	Brazil		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum 330-89	specimen from organism
207-89	Sample 207-89			EUSTDY0002 Subject 70	Brazil		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum 207-89	specimen from organism
MT_S1	Sample MT_S1			EUSTDY0002 Subject 71	Mali		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum MT_S1	specimen from organism
1054	Sample 1054			EUSTDY0002 Subject 72	Brazil		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum 1054	specimen from organism
51	Sample 51			EUSTDY0002 Subject 73	Brazil		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum 51	specimen from organism
9-411	Sample 9-411			EUSTDY0002 Subject 74	Brazil		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum 9-411	specimen from organism
365_89	Sample 365_89			EUSTDY0002 Subject 75	Brazil		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum 365_89	specimen from organism
608	Sample 608			EUSTDY0002 Subject 76	Brazil		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum 608	specimen from organism
60888	Sample 60888			EUSTDY0002 Subject 77	Brazil		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum 60888	specimen from organism
T2_C6	Sample T2_C6			EUSTDY0002 Subject 78	Thailand		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum T2_C6	specimen from organism
JST	Sample JST			EUSTDY0002 Subject 79	Brazil		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum JST	specimen from organism
ADA2	Sample ADA2			EUSTDY0002 Subject 80	Brazil		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum ADA2	specimen from organism
RAJ116	Sample RAJ116			EUSTDY0002 Subject 81	India		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum RAJ116	specimen from organism
87-239	Sample 87-239			EUSTDY0002 Subject 82	India		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum 87-239	specimen from organism
JDP8	Sample JDP8			EUSTDY0002 Subject 83	Laos	Indochina	Homo sapiens	Plasmodium falciparum	Plasmodium falciparum JDP8	specimen from organism
IGHCR14	Sample IGHCR14			EUSTDY0002 Subject 84	India		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum IGHCR14	specimen from organism
3D7	Sample 3D7			EUSTDY0002 3D7 Reference			Homo sapiens	Plasmodium falciparum	Plasmodium falciparum 3D7	specimen from organism
