Name	Description	SourceMTOverride	SampleMTOverride	Characteristics [country]	Characteristics [city]	specimen collection year	Characteristics [parasite organism]	Characteristics [parasite strain]	Characteristics [organism]	Characteristics [host_common_name]	
BHU238_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Baruraj,laximinia	2006	Leishmania donovani	Leishmania donovani BHU238_0	Homo sapiens	human
BHU239_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Susta, Maniyari, Bishunpur Gidha	2006	Leishmania donovani	Leishmania donovani BHU239_0	Homo sapiens	human
BHU241_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Nirpur, Sahebganj, Jita Chapra	2006	Leishmania donovani	Leishmania donovani BHU241_0	Homo sapiens	human
BHU242_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Birahima, Sahebganj, Jita Chapra	2006	Leishmania donovani	Leishmania donovani BHU242_0	Homo sapiens	human
BHU250_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Jasauli Pakri, Baruraj, Mahadipur	2006	Leishmania donovani	Leishmania donovani BHU250_0	Homo sapiens	human
BHU254_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Pokhraira, Saraiya, Ramkrishan Dubiyahi	2006	Leishmania donovani	Leishmania donovani BHU254_0	Homo sapiens	human
BHU267_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Kerma, Kudhani, Kerma	2007	Leishmania donovani	Leishmania donovani BHU267_0	Homo sapiens	human
BHU268_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Barkagaon, Karja, Kathan	2007	Leishmania donovani	Leishmania donovani BHU268_0	Homo sapiens	human
BHU269_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, rajwara, sahebganj	2007	Leishmania donovani	Leishmania donovani BHU269_0	Homo sapiens	human
BHU271_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	unknown	2007	Leishmania donovani	Leishmania donovani BHU271_0	Homo sapiens	human
BHU273_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	unknown	2007	Leishmania donovani	Leishmania donovani BHU273_0	Homo sapiens	human
BHU274_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Partapur, Karja, Mohammadpur	2007	Leishmania donovani	Leishmania donovani BHU274_0	Homo sapiens	human
BHU275_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Nariyarpur, Motipur, Nariyarpur	2007	Leishmania donovani	Leishmania donovani BHU275_0	Homo sapiens	human
BHU278_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Kurhani, Sumera	2007	Leishmania donovani	Leishmania donovani BHU278_0	Homo sapiens	human
BHU281_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Kurhani, Ladura Pakri	2007	Leishmania donovani	Leishmania donovani BHU281_0	Homo sapiens	human
BHU283_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Pathahi, Karja, Pakri Pakohi	2007	Leishmania donovani	Leishmania donovani BHU283_0	Homo sapiens	human
BHU293_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Turki, Minapur, Nariyar Panapur	2007	Leishmania donovani	Leishmania donovani BHU293_0	Homo sapiens	human
BHU296_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	unknown		Leishmania donovani	Leishmania donovani BHU296_0	Homo sapiens	human
BHU297_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	unknown	2007	Leishmania donovani	Leishmania donovani BHU297_0	Homo sapiens	human
BHU298_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Sahebganj, rajwara	2007	Leishmania donovani	Leishmania donovani BHU298_0	Homo sapiens	human
BHU301_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Birbaliya, Baruraj, Tola Muza	2007	Leishmania donovani	Leishmania donovani BHU301_0	Homo sapiens	human
BHU315_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, fatiyabad, Paru	2007	Leishmania donovani	Leishmania donovani BHU315_0	Homo sapiens	human
BHU339_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, saraiya, bakhra, Visunpur Basaitha	2007	Leishmania donovani	Leishmania donovani BHU339_0	Homo sapiens	human
BHU345_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Uttar Pradesh, Barabanki	2007	Leishmania donovani	Leishmania donovani BHU345_0	Homo sapiens	human
BHU568cl1	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzzafarpur, Gola Bhagwanpur, Kudhani, Gaushi Khan	2009	Leishmania donovani	Leishmania donovani BHU568cl1	Homo sapiens	human
BHU573cl3	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Sitamadhi	2009	Leishmania donovani	Leishmania donovani BHU573cl3	Homo sapiens	human
BHU744_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar,Muzaffarpur	2009	Leishmania donovani	Leishmania donovani BHU744_0	Homo sapiens	human
BHU774_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar,Muzaffarpur, Barka Gaon, Karja, Madho Chapra	2009	Leishmania donovani	Leishmania donovani BHU774_0	Homo sapiens	human
BHU783_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar,Muzaffarpur, Dhanaiya, Sahebganj, Dhanaiya	2010	Leishmania donovani	Leishmania donovani BHU783_0	Homo sapiens	human
BHU796_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar,Muzaffarpur, saraiya, Ajitpur, bahnagari	2010	Leishmania donovani	Leishmania donovani BHU796_0	Homo sapiens	human
