Name	Description	SourceMTOverride	SourceMTOverride	specimen collector	Specimen Collection Date	Characteristics [country]	Characteristics [continent]	Characteristics [Health status]	Characteristics [organism]	Characteristics [fungus organism]	Characteristics [specimen]	Lineage	Characteristics [fungal strain]
MRL_6044				NICD	2006	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_6044
MRL_5454				NICD	2006	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_5454
MRL_4387				NICD	2006	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_4387
MRL_3876				NICD	2006	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_3876
MRL_2899				NICD	2006	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2899
MRL_2736				NICD	2006	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2736
MRL_1999				NICD	2006	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1999
MRL_303				NICD	2006	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_303
MRL_3061				NICD	2007	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_3061
MRL_1723				NICD	2011	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1723
MRL_1428				NICD	2011	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1428
MRL_1150				NICD	2011	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1150
MRL_1037				NICD	2011	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1037
MRL_976				NICD	2011	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_976
MRL_924				NICD	2011	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_924
MRL_940				NICD	2011	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_940
MRL_848				NICD	2011	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_848
MRL_841				NICD	2011	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	Blood culture	VGIV	Cryptococcus gattii VGIV MRL_841
MRL_252				NICD	2011	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_252
MRL_1261				NICD	2009	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1261
MRL_2085				NICD	2010	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2085
MRL_1930				NICD	2010	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1930
MRL_1698				NICD	2010	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV		VGIV	Cryptococcus gattii VGIV MRL_1698
MRL_1788				NICD	2010	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1788
MRL_1643				NICD	2010	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1643
MRL_1742				NICD	2010	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1742
MRL_376				NICD	2011	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_376
MRL_843				NICD	2010	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_843
MRL_607				NICD	2010	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_607
MRL_70				NICD	2010	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_70
MRL_954				NICD	2009	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_954
MRL_786				NICD	2011	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_786
MRL_2544				NICD	2009	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2544
MRL_2476				NICD	2009	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2476
MRL_2390				NICD	2009	South Africa	Africa	Meningitis and pneumonia	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2390
MRL_2428				NICD	2009	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2428
MRL_2174				NICD	2009	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2174
MRL_2028				NICD	2009	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2028
MRL_2000				NICD	2009	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2000
MRL_1846				NICD	2009	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1846
MRL_1764				NICD	2009	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1764
MRL_3234				NICD	2013	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_3234
MRL_273				NICD	2011	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_273
MRL_500				NICD	2007	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_500
MRL_1252				NICD	2006	South Africa	Africa	Meningitis and pneumonia	Homo sapiens	Cryptococcus gattii VGIV	Blood culture	VGIV	Cryptococcus gattii VGIV MRL_1252
