name	description	sourcemtoverride	samplemtoverride	body_habitat	body_product	body_site	elevation	env_biome	env_feature	env_matter	geo_loc_name	host_subject_id	latitude	longitude	region	sample_type	sequencecenter	title
1927.SRS055771.SRX020536.SRR047629	Sample 1927.SRS055771.SRX020536.SRR047629			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	human-associated habitat		USA	700106044	39	-77	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055772.SRX020677.SRR047957	Sample 1927.SRS055772.SRX020677.SRR047957			UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	97	urban biome	human-associated habitat		USA	700102940	39	-77	V1-V3	Oral swab	BCM	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055785.SRX020568.SRR046943	Sample 1927.SRS055785.SRX020568.SRR046943			UBERON:vagina	UBERON:mucus	UBERON:posterior fornix of vagina	97	urban biome	human-associated habitat		USA	700105179	39	-77	V1-V3	Vaginal swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055787.SRX020575.SRR047612	Sample 1927.SRS055787.SRX020575.SRR047612			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700038940	39	-77	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055808.SRX020568.SRR046882	Sample 1927.SRS055808.SRX020568.SRR046882			UBERON:oral cavity	UBERON:saliva	UBERON:mouth	97	urban biome	human-associated habitat		USA	700106581	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055814.SRX022156.SRR058115	Sample 1927.SRS055814.SRX022156.SRR058115			UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	97	urban biome	human-associated habitat		USA	700109268	39	-77	V3-V1	Oral swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055821.SRX020549.SRR049399	Sample 1927.SRS055821.SRX020549.SRR049399			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700106898	39	-77	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055825.SRX020670.SRR046336	Sample 1927.SRS055825.SRX020670.SRR046336			UBERON:vagina	UBERON:mucus	UBERON:posterior fornix of vagina	97	urban biome	human-associated habitat		USA	700105453	39	-77	V1-V3	Vaginal swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055828.SRX020540.SRR047269	Sample 1927.SRS055828.SRX020540.SRR047269			UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	97	urban biome	human-associated habitat		USA	700103599	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055853.SRX020670.SRR046332	Sample 1927.SRS055853.SRX020670.SRR046332			UBERON:oral cavity	UBERON:supragingival dental plaque	UBERON:tooth	97	urban biome	human-associated habitat		USA	700105874	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055868.SRX020531.SRR046054	Sample 1927.SRS055868.SRX020531.SRR046054			UBERON:oral cavity	UBERON:mucus	UBERON:throat	97	urban biome	human-associated habitat		USA	700038610	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055868.SRX020544.SRR045923	Sample 1927.SRS055868.SRX020544.SRR045923			UBERON:oral cavity	UBERON:mucus	UBERON:throat	97	urban biome	human-associated habitat		USA	700038610	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055871.SRX020567.SRR046716	Sample 1927.SRS055871.SRX020567.SRR046716			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700105326	39	-77	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055886.SRX022224.SRR058087	Sample 1927.SRS055886.SRX022224.SRR058087			UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	97	urban biome	human-associated habitat		USA	700109354	39	-77	V3-V1	Oral swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055888.SRX020567.SRR046774	Sample 1927.SRS055888.SRX020567.SRR046774			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	human-associated habitat		USA	700106924	39	-77	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055904.SRX020677.SRR047994	Sample 1927.SRS055904.SRX020677.SRR047994			UBERON:oral cavity	UBERON:saliva	UBERON:gingiva	97	urban biome	human-associated habitat		USA	700102625	39	-77	V1-V3	Oral swab	BCM	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055924.SRX020567.SRR049497	Sample 1927.SRS055924.SRX020567.SRR049497			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700106968	39	-77	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055952.SRX020580.SRR047149	Sample 1927.SRS055952.SRX020580.SRR047149			UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	97	urban biome	human-associated habitat		USA	700105425	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055956.SRX020577.SRR049841	Sample 1927.SRS055956.SRX020577.SRR049841			UBERON:vagina	UBERON:mucus	UBERON:posterior fornix of vagina	97	urban biome	human-associated habitat		USA	700106054	39	-77	V1-V3	Vaginal swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
